Country ID,Country Name,Region,World Rank,Region Rank,2023 Score,2023 Score Range,Change from 2022,Property Rights,Judical Effectiveness,Govt Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,2022 Score,2022 Score Range
155,Suriname,Americas,163,29,46.22,40-49.9,-1.88,41.9,46.2,38.6,70.8,61.4,0,52.8,64.4,46,60.6,40,30,48.1,40-49.9
156,Sweden,Europe,10,7,77.56,70-79.9,-0.340000000000003,96.6,95.6,95.7,45.1,26.2,96.2,84.6,65.9,80.9,78.6,85,80,77.9,70-79.9
157,Switzerland,Europe,2,1,83.84,80-100,-0.359999999999999,94.2,97.8,92.3,70.6,63.9,95.4,84.3,60.5,85.1,86.6,85,90,84.2,80-100
158,Syria,Middle East and North Africa,0,0,7.34,20-39.9,7.34,3,4.4,6.5,0,0,0,35,46.5,0,0,0,0,0,0-19.9
159,Taiwan ,Asia-Pacific,4,2,80.67,80-100,0.570000000000007,81.9,94.7,76.3,79.3,91.1,93.6,84.3,69.1,82.5,85.8,70,60,80.1,80-100
160,Tajikistan,Asia-Pacific,146,31,50.51,50-59.9,0.809999999999995,29.2,11.7,17.7,92,75.2,87.2,56.8,43.6,66.3,72.2,25,30,49.7,40-49.9
161,Tanzania,Sub-Saharan Africa,83,6,59.96,50-59.9,0.460000000000001,44.8,28.3,37.4,80.6,91.3,86.5,50.1,62.4,73,60.6,55,50,59.5,50-59.9
162,Thailand,Asia-Pacific,80,16,60.79,60-69.9,-2.41,44.2,35.1,37.7,81,81.5,65.2,66.6,56.6,73.4,70.8,55,60,63.2,60-69.9
163,The Bahamas,Americas,67,15,63.07,60-69.9,-5.63,60.5,78.3,65.7,96.5,79.3,0,67,68.6,75.7,49.6,50,60,68.7,60-69.9
164,The Gambia,Sub-Saharan Africa,101,11,57.87,50-59.9,-0.130000000000003,47.2,36.4,36.9,79.3,83.5,70.4,50.5,47.4,63.3,64.4,65,50,58,50-59.9
165,Timor-Leste,Asia-Pacific,159,35,47.12,40-49.9,0.82,38.2,36.3,40.1,97.5,0,19.8,58.4,56.5,74.6,79.9,45,20,46.3,40-49.9
166,Togo,Sub-Saharan Africa,118,19,55.41,50-59.9,-1.79000000000001,35.8,36.8,30.1,70.2,87.1,69.4,51.2,51.9,73.4,67.2,60,30,57.2,50-59.9
167,Tonga,Asia-Pacific,82,17,60.09,60-69.9,-0.709999999999994,64.6,68.8,43.2,85.4,46.5,95.5,55.7,56.1,72.7,71.9,40,20,60.8,60-69.9
168,Trinidad and Tobago,Americas,88,20,59.44,50-59.9,0.640000000000001,58.1,59.9,45.2,80.3,68.5,12.7,64.5,64.8,83,66.9,60,50,58.8,50-59.9
169,Tunisia,Middle East and North Africa,132,10,52.98,50-59.9,-1.22000000000001,61.8,49,46.7,73.7,68.4,13.7,54.4,55.8,74.8,66.3,40,30,54.2,50-59.9
170,Turkey,Europe,104,41,56.93,50-59.9,0.0300000000000011,40.8,24.2,37.1,73,66.1,63,59.7,54.9,58.6,75.8,70,60,56.9,50-59.9
171,Turkmenistan,Asia-Pacific,161,37,46.47,40-49.9,0.269999999999996,19.1,9.7,8.1,94.3,96.2,99.8,37.3,31.4,67.8,74.2,10,10,46.2,40-49.9
172,Uganda,Sub-Saharan Africa,143,34,51.62,50-59.9,-2.58000000000001,47.7,29.2,24.3,73.5,87.4,23.3,46.1,54.7,80.3,55.4,55,40,54.2,50-59.9
173,Ukraine,Europe,0,0,4.51,20-39.9,-49.59,0,0,0,0,0,0,0,N/N,0,0,0,0,54.1,50-59.9
174,United Arab Emirates,Middle East and North Africa,24,1,70.82,70-79.9,0.61999999999999,65.4,34.5,68.8,100,71.6,96.4,77,64.5,84.3,78,50,60,70.2,70-79.9
175,United Kingdom,Europe,28,17,70.15,70-79.9,-2.55,95.1,84.8,86.4,65.4,41.9,1.8,79.1,62.2,80.8,81.8,80,80,72.7,70-79.9
176,United States,Americas,25,3,70.73,70-79.9,-1.36999999999999,94.7,76.1,73.4,75.4,49.3,0,83.8,76.3,78,75.4,85,80,72.1,70-79.9
177,Uruguay,Americas,27,4,70.22,70-79.9,0.219999999999999,84.3,80.6,77.3,73.7,70.1,73.3,80.1,60.8,71.8,70.8,70,30,70,60-69.9
178,Uzbekistan,Asia-Pacific,109,23,56.45,50-59.9,0.75,30.9,13,24.9,92.8,74.9,85.3,58.9,48.1,63.4,76,60,50,55.7,50-59.9
179,Vanuatu,Asia-Pacific,70,12,62.17,60-69.9,-0.729999999999997,60.3,72.2,45.5,98,45.5,95.4,49.8,40.1,73.8,59.7,65,40,62.9,60-69.9
180,Venezuela,Americas,174,31,25.68,20-39.9,0.879999999999999,0,3.4,6.5,74.8,95,12,30.8,34.3,0,42.3,0,10,24.8,20-39.9
181,Vietnam,Asia-Pacific,72,14,61.69,60-69.9,1.09,48.7,35.1,36.4,78.6,86.5,88.7,73.4,54.1,70.5,79.4,40,50,60.6,60-69.9
182,Yemen,Middle East and North Africa,0,0,6.21,20-39.9,6.21,6.3,8.3,7,0,0,0,28.4,30.7,0,0,0,0,0,0-19.9
183,Zambia,Sub-Saharan Africa,158,41,47.83,40-49.9,-0.870000000000005,36,44.4,29.9,74.8,69.6,0,43.9,42.1,62.2,65.2,55,50,48.7,40-49.9
184,Zimbabwe,Sub-Saharan Africa,172,46,38.57,20-39.9,5.47,20,15.8,20,65.8,92.6,89.9,39.8,35.4,0,54,25,10,33.1,20-39.9
