Country ID,Country Name,Region,World Rank,Region Rank,2023 Score,2023 Score Range,Change from 2022,Property Rights,Judical Effectiveness,Govt Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,2022 Score,2022 Score Range
84,Kenya,Sub-Saharan Africa,135,29,52.52,50-59.9,-0.0799999999999983,39.7,38.9,30,79,81.7,10.8,56,57.1,74.7,57.2,55,50,52.6,50-59.9
85,Kiribati,Asia-Pacific,92,20,58.82,50-59.9,-0.380000000000003,76.3,83.7,51.9,69.5,0,82.8,61.2,65.5,79.5,80,25,30,59.2,50-59.9
86,Kosovo,Europe,78,39,60.69,60-69.9,0.589999999999996,47.2,31.3,39.3,93.1,70.8,72.6,67.9,53.4,75,83.3,65,30,60.1,60-69.9
87,Kuwait,Middle East and North Africa,108,9,56.78,50-59.9,-1.52,42.5,40.6,43.8,97.7,3.2,80.9,59.1,52.1,69.3,75.6,55,60,58.3,50-59.9
88,Kyrgyz Republic,Asia-Pacific,115,25,55.76,50-59.9,-0.0399999999999991,24.2,13,25.2,95,66,90.1,56.1,52.1,65.4,72,60,50,55.8,50-59.9
89,Laos,Asia-Pacific,147,32,50.17,50-59.9,0.969999999999999,41.8,11.4,21,89,90.1,54.6,56.7,44.5,72.3,66.6,35,20,49.2,40-49.9
90,Latvia,Europe,17,11,72.95,70-79.9,-1.84999999999999,87.3,73,64.7,76.2,49,78.9,78.2,62.6,80.1,78.6,85,60,74.8,70-79.9
91,Lebanon,Middle East and North Africa,164,12,45.75,40-49.9,-1.55,33.1,25,22.6,89.7,80.7,44.1,48.1,53.3,19.5,71.4,30,30,47.3,40-49.9
92,Lesotho,Sub-Saharan Africa,141,33,51.31,50-59.9,3.21,42.4,43.3,41.6,77.3,11.2,70.1,44,57.9,74.9,61.2,55,40,48.1,40-49.9
93,Liberia,Sub-Saharan Africa,150,36,49.51,40-49.9,1.61,31.6,23.2,26.1,86.1,68.6,72.6,34.1,43.3,68.3,66.8,55,20,47.9,40-49.9
94,Libya,Middle East and North Africa,0,0,13.56,20-39.9,13.56,5.4,3.6,12.5,0,0,0,31.1,48.6,75.1,0,0,0,0,0-19.9
95,Liechtenstein,Europe,0,0,39.10,20-39.9,39.1,92.9,88,80.8,0,0,0,0,0,0,86.6,80,80,0,0-19.9
96,Lithuania,Europe,20,14,72.48,70-79.9,-3.31999999999999,87.7,74.2,68.5,77.7,56.9,68.6,76,60.2,78.1,78.6,70,70,75.8,70-79.9
97,Luxembourg,Europe,7,4,78.54,70-79.9,-2.05999999999999,96.8,96.5,89.7,64.8,41.6,80,85.5,56.8,75.1,78.6,95,80,80.6,80-100
98,Madagascar,Sub-Saharan Africa,91,9,58.89,50-59.9,-0.00999999999999801,41.7,34.4,23.8,90.7,93,82.3,38.5,56.2,75.3,65.8,55,50,58.9,50-59.9
99,Malawi,Sub-Saharan Africa,133,27,52.82,50-59.9,-0.18,48.4,52.7,36.6,71.6,85.2,11.8,34.1,56.9,70.8,65.6,50,50,53,50-59.9
100,Malaysia,Asia-Pacific,42,8,67.38,60-69.9,-0.719999999999999,65.4,57.6,51.6,83.9,82.4,64.5,70.3,58,81.1,83,60,50,68.1,60-69.9
101,Maldives,Asia-Pacific,160,36,46.64,40-49.9,-0.659999999999997,48.2,33.4,38.8,91.9,48.4,0,44.8,50,79.9,58.6,35,30,47.3,40-49.9
102,Mali,Sub-Saharan Africa,122,21,54.62,50-59.9,-1.28,32.6,33.4,26.9,68.9,80.5,68.7,40.5,54.4,79.2,64,65,40,55.9,50-59.9
103,Malta,Europe,41,24,67.85,60-69.9,-3.65000000000001,86.9,90.8,57.4,69.9,45.9,43.5,75.5,62.7,79.3,78.6,70,50,71.5,70-79.9
104,Mauritania,Sub-Saharan Africa,117,18,55.33,50-59.9,0.0300000000000011,36.4,27.7,24.2,75.8,90,94.7,35.3,49.3,78.6,62,50,40,55.3,50-59.9
105,Mauritius,Sub-Saharan Africa,26,1,70.58,70-79.9,-0.320000000000007,87,81.4,58.2,91,70.2,2.5,76,69.1,73.4,87.8,80,70,70.9,70-79.9
106,Mexico,Americas,61,11,63.23,60-69.9,-0.470000000000006,47.8,40,30.8,75.5,77.8,73.6,72.4,57.7,70.9,76.8,75,60,63.7,60-69.9
107,Micronesia,Asia-Pacific,66,11,62.47,60-69.9,1.47,57.7,84.7,62.4,91,0,99.5,52.5,82,81.5,74.8,35,30,61,60-69.9
108,Moldova,Europe,96,40,58.70,50-59.9,-2.59999999999999,37.9,29.8,35.6,93.4,64.4,82.1,60.2,46.6,71.2,75.6,55,50,61.3,60-69.9
109,Mongolia,Asia-Pacific,73,15,61.88,60-69.9,-2.02,48.7,55.8,37.2,88.2,64.1,64.3,66.4,67.5,74.1,74.2,50,50,63.9,60-69.9
110,Montenegro,Europe,77,38,60.66,60-69.9,2.86,59.7,41.2,47,88.2,31.7,48.1,67.3,61.6,81.8,79.2,75,50,57.8,50-59.9
111,Morocco,Middle East and North Africa,97,7,58.43,50-59.9,-0.770000000000003,57.1,32.8,38.7,67.9,72,41.3,65.3,47.6,78.3,64.4,65,70,59.2,50-59.9
112,Mozambique,Sub-Saharan Africa,134,28,52.45,50-59.9,1.15000000000001,31.2,44.6,27.1,75.3,70.6,65.9,36.1,47.8,76.1,70.8,35,50,51.3,50-59.9
113,Namibia,Sub-Saharan Africa,102,12,57.85,50-59.9,-1.35,64,67.2,52.5,72,53,9.6,56,63.3,78.5,71.8,65,40,59.2,50-59.9
114,Nepal,Asia-Pacific,142,30,51.31,50-59.9,1.61,37.6,43.4,34,85,77.2,58.9,60.1,51.5,71.8,57.8,10,30,49.7,40-49.9
115,Netherlands,Europe,8,5,78.07,70-79.9,-1.43000000000001,95.6,96.6,91,51,37.9,90.8,84.4,59.3,80.2,78.6,90,80,79.5,70-79.9
116,New Zealand,Asia-Pacific,5,3,79.06,70-79.9,-1.53999999999999,87.8,94.7,96.8,66.6,49.7,72.2,88.8,71.5,78.7,90.4,70,80,80.6,80-100
117,Nicaragua,Americas,121,25,54.85,50-59.9,0.0500000000000043,29.7,20.4,17.6,75.6,74.4,92,53.9,47,71.3,66.4,60,50,54.8,50-59.9
118,Niger,Sub-Saharan Africa,126,23,53.75,50-59.9,-1.15,36.8,37.2,32.1,77.7,84.3,55.9,34.5,54.1,73.2,63,55,40,54.9,50-59.9
119,Nigeria,Sub-Saharan Africa,124,22,53.90,50-59.9,-0.499999999999993,24,33.8,22.5,84.9,95.2,50,44.3,73.6,65,68,45,40,54.4,50-59.9
120,North Korea,Asia-Pacific,176,39,2.88,20-39.9,-0.12,16.6,6.3,1.6,0,0,0,5,5,0,0,0,0,3,20-39.9
